Original_Latitude,Original_Longitude,Venue_Name,Address,Latitude,Longitude,Categories,Rating,TotalRatings
45.55463653358596,-73.61255215771962,Boulangerie & Charcuterie San Pietro,"1950 Jean-Talon Rue E (Chabot), Montréal QC H2E 1T8",45.549206,-73.605643,"['Bakery', 'Deli']",,
45.55463653358596,-73.61255215771962,Pho Ngon,"3205 Cremazie Blvd E (Crémazie), Montréal QC H1Z 4M5",45.562234,-73.607816,['Vietnamese Restaurant'],,
45.55463653358596,-73.61255215771962,Sushi Löbu,"1813 Jean-Talon Rue E (Papineau), Montréal QC H2E 1T4",45.548154,-73.607063,['Sushi Restaurant'],,
45.55463653358596,-73.61255215771962,La Belle Bleue,"1865 Jean-Talon Rue E (Jean-Talon & Papineau), Montréal QC H2E 1T4",45.548501,-73.606783,"['BBQ Joint', 'Fast Food Restaurant', 'Turkish Restaurant']",,
45.55463653358596,-73.61255215771962,Le Petit Coin Mexicain,"2474 Jean-Talon Rue E (Iberville), Montréal QC H2E 1W2",45.553258,-73.602091,['Mexican Restaurant'],,
45.55463653358596,-73.61255215771962,Boulangerie & Pâtisserie Tillemont Inc,"1812 Tillemont Rue (Papineau), Montréal QC H2E 1C5",45.552123,-73.615774,"['Bakery', 'Pastry Shop']",,
45.55463653358596,-73.61255215771962,Marché Kim Hour Inc,"7734 Saint-Michel Blvd (at Crémazie Est), Montréal QC H2A 3A5",45.561716,-73.605374,"['Cantonese Restaurant', 'Seafood Restaurant', 'Vietnamese Restaurant']",,
45.55463653358596,-73.61255215771962,Subway,"1280 Jarry Rue E, Montréal QC H2P 1X1",45.549499,-73.621699,"['Deli', 'Fast Food Restaurant', 'Sandwich Spot']",,
45.55463653358596,-73.61255215771962,Subway,"7900 St Michel Blvd, Montréal QC H1Z 3E1",45.562292,-73.607769,"['Deli', 'Fast Food Restaurant', 'Sandwich Spot']",,
45.54365380040509,-73.55942063033581,Hoogan et Beaufort,"4095 Molson Rue, Montréal QC H1Y 3L1",45.542279,-73.563587,"['French Restaurant', 'Modern European Restaurant']",,
45.54365380040509,-73.55942063033581,Mamie Clafoutis,"4093 Molson Rue (Rue William-Tremblay), Montréal QC H1Y 3L1",45.542052,-73.56358,"['Bakery', 'Pastry Shop']",,
45.54365380040509,-73.55942063033581,Boulangerie Au Pain Dore Ltee,"3075 Rue de Rouen, Montréal QC H1W 3Z2",45.540006,-73.552367,"['Bakery', 'Café']",,
45.54365380040509,-73.55942063033581,Maneki Comptoir Asiat',"3121 Hochelaga Rue, Montréal QC H1W 1G3",45.542003,-73.554757,['Asian Restaurant'],,
45.54365380040509,-73.55942063033581,Deli Miami,"3090 Sherbrooke Rue E (coin Moreau), Montréal QC H1W 1B5",45.542002,-73.557616,"['Diner', 'Pizzeria', 'Fast Food Restaurant']",,
45.54365380040509,-73.55942063033581,Labarake,"3165 Rachel Rue E (Avenue du Midway), Montréal QC H1W 1A3",45.544885,-73.561198,"['Gastropub', 'French Restaurant', 'Steakhouse']",,
