name,latitude,longitude,free_bikes,empty_slots
Métro Vendôme (de Marlowe / de Maisonneuve),45.47393028235147,-73.60473453998564,2,25
Paré / Mountain Sights,45.49810026070624,-73.65294188261032,10,2
Métro Côte-Ste-Catherine (Beaucourt / de la Côte-Ste-Catherine),45.491513,-73.633649,8,13
de la Côte St-Antoine / Royal,45.468926984877434,-73.6198702454567,10,8
de Monkland / Girouard,45.47710675189806,-73.6214379966259,16,10
Quai de la navette fluviale,45.51366626207095,-73.53842496871948,13,4
de Laprairie / Centre,45.48059248038378,-73.56577813625336,5,10
CCI Outremont (Dollard / Ducharme),45.520019102391636,-73.61890733242035,7,7
Parc Beaubien Outremont (Stuart / St-Viateur),45.515969694922276,-73.60827505588531,4,10
Durocher / Bernard,45.52222528598142,-73.60668718814848,8,7
Métro Verdun (Willibrord / de Verdun),45.45944369868444,-73.57247931886377,15,12
Métro de l'Église (Ross / de l'Église),45.462835777941144,-73.565876549128,16,1
Graham / Wicksteed,45.51693654712809,-73.64048302173615,6,12
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50363996257211,-73.6182689666748,17,8
Kirkfield / de Chambois,45.51293324107222,-73.63389015197754,12,11
Métro Langelier (Langelier / Sherbrooke),45.58284663189181,-73.54247644543648,6,11
Métro Radisson (Sherbrooke / des Groseilliers),45.58917500418707,-73.53965610265732,14,4
Grand Boulevard / de Terrebonne,45.470535000953966,-73.63165721297264,2,18
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.65140583915357,-73.50041270256041,4,11
Pierre-de-Coubertin / Langelier,45.580314546424674,-73.5353136062622,8,7
Graham / Kindersley,45.514080696641386,-73.64694982767105,20,1
Bourgeoys / Favard,45.47993042065731,-73.55592101812363,20,6
Michelet / Jean-Talon,45.57627820285533,-73.58353972434998,3,19
Centre ÉPIC (St-Zotique / 40e avenue),45.57414703721992,-73.57462137937546,0,20
Grey / Sherbrooke,45.47629426230192,-73.60617488622665,14,0
Bélanger / des Galeries d'Anjou,45.59722114932571,-73.56279015541077,6,12
Métro Assomption (Chauveau / de l'Assomption),45.569789,-73.548081,0,22
de l'Église / de Verdun,45.46300108733155,-73.57156895217486,1,17
Argyle / de Verdun,45.45301583620112,-73.57191503047943,14,7
St-Joseph / 8e avenue Lachine,45.431518914135125,-73.67110446095467,15,12
8e avenue / Notre-Dame Lachine,45.43498715540587,-73.67079868912697,10,7
Parc St-Louis (St-Joseph / 34e avenue),45.432839840726125,-73.69349151849747,5,16
Victoria / 18e avenue Lachine,45.43579350588776,-73.6801904439926,5,8
St-Joseph Lachine / 21e avenue,45.43352120253739,-73.68354320526123,15,4
de la Vérendrye / 75e avenue,45.42070552680549,-73.62966051438889,9,10
Mairie d'arrondissement LaSalle (Dupras / Jeannette),45.429166968311485,-73.66280972957611,6,5
Parc Lacharité (Latour / Forget),45.41773748108526,-73.62338548639853,5,14
Newman / Senkus,45.44404309237571,-73.61375212669373,12,6
LaSalle / Crawford,45.43791516514076,-73.58253550531117,2,10
Métro Jolicoeur (de Sève / Drake),45.45608545783109,-73.58193710446358,10,8
